Elapsed mS,Variable1,Variable2,Variable3
1,0,-0.163,0
2,0,-0.163,0
3,0,-0.163,0
4,0,-0.163,0
5,0,-0.163,0
6,0,-0.163,0
7,0,-0.163,0
8,0,-0.163,0
9,0,-0.163,0
10,0,-0.163,0
11,0,-0.163,0
12,0,-0.163,0
13,0,-0.163,0
14,0,-0.163,0
15,0,-0.163,0
16,0,-0.163,0
17,0,-0.163,0
18,0,-0.163,0
19,0,-0.163,0
20,0,-0.163,0
21,0,-0.163,0
22,0,-0.163,0
23,0,-0.163,0
24,0,-0.163,0
25,0,-0.163,0
26,0,-0.163,0
27,0,-0.163,0
28,0,-0.163,0
29,0,-0.163,0
